gene_id,108,153,20,32,59,67
AT4G22890,12731,14316,11698,6645,12699,12965
AT1G38430.1,0,0,0,2,0,0
AT3G27910,0,0,0,0,0,0
AT1G06620,578,1200,5075,111,1363,1066
AT5G54067,0,0,0,0,0,0
AT2G34630,1190,1599,1797,619,2060,1869
AT2G46660,240,299,39,82,137,287
AT2G25590,40,176,229,98,28,39
AT1G43171,0,0,0,0,0,0
AT2G12695.1,0,0,0,0,0,0
AT2G32280,259,304,236,160,195,233
AT3G15020,723,1879,1314,311,1482,1370
AT5G61100,0,0,0,0,13,0
AT5G01650,2980,3624,2585,1858,2648,2651
AT5G05570,638,933,857,288,1229,851
AT3G09770,2120,3650,2328,968,2197,2554
AT3G32300.1,0,0,0,0,0,0
AT3G10210,682,720,805,398,666,675
AT5G06000,94,300,206,69,196,226
AT5G64620,3412,4529,2213,1798,2691,2391
AT1G75280,1003,2346,4266,1156,5938,2446
AT4G25040,0,0,0,0,0,0
AT2G25040,0,0,0,0,0,0
AT1G42510.1,0,0,0,0,0,0
AT1G03010,21,32,19,0,40,63
AT2G07730.1,0,0,0,0,0,0
AT4G01883,501,710,1802,1062,591,851
AT3G56710,737,368,1107,224,2081,368
AT1G30610,516,661,841,299,776,620
AT5G62660,0,0,0,0,0,3
AT3G43573.1,0,0,0,0,0,0
AT3G01516,91,13,25,19,81,31
AT3G05870,198,243,132,107,171,203
AT3G01510,1987,2135,1081,429,2748,1869
AT4G33890,553,583,1029,263,823,705
AT2G01860,210,333,167,101,263,651
AT1G74880,9112,9625,14493,8945,9737,8980
AT2G14590.1,0,0,0,0,0,0
AT3G27710,8,11,0,2,11,0
AT3G18420,471,1190,1353,898,935,961
AT1G06990,0,0,6,0,0,0
AT3G14770,732,340,1403,223,820,804
AT4G12460,455,569,1214,397,588,624
AT4G32205.1,14,22,11,0,14,29
AT3G13740,1816,1858,1229,1192,1075,1855
AT1G75420,586,779,648,414,705,923
AT1G70410,13296,13614,19387,6888,18894,17597
AT5G53140,9717,6581,8677,6650,8581,8801
AT4G13730,2112,2045,1637,1014,1332,1783
ATMG01170,0,8,6,85,2,4
AT3G30834.1,0,0,0,0,0,0
AT4G07690.1,0,0,0,0,0,0
AT2G24310,3,65,30,25,43,3
AT5G61810,493,764,1619,404,847,971
AT2G04670.1,0,0,1,5,0,0
AT4G28440,1353,1608,1089,679,1503,1137
AT4G30270,8485,13991,3807,1604,4858,11346
AT2G33620,1369,2175,1907,919,1896,1513
AT2G38630,574,546,556,243,421,407
AT2G29590,222,582,200,180,330,355
AT5G11340,1235,1771,1255,1375,1259,1244
AT5G15845,16,144,116,78,106,149
AT2G36560,0,0,22,0,0,0
AT5G15840,254,487,65,140,138,222
AT1G36310,945,931,859,397,1207,1155
AT3G02090,11947,15194,14084,5531,17007,13956
AT1G74360,134,149,949,168,279,133
AT3G28157.1,0,0,0,0,0,0
AT2G26810,257,513,451,273,359,573
AT2G19803.1,0,12,0,0,0,0
AT3G42940,0,0,0,0,0,0
AT2G44360,1047,1561,1574,616,1161,1406
AT4G31630,0,14,0,0,0,7
AT5G11690,334,437,468,189,407,371
AT5G33380.1,0,0,0,0,0,0
AT2G18440,6846,9876,4605,2579,7250,9097
AT4G20790,0,0,0,0,0,0
AT1G58430,0,0,0,0,0,0
AT4G36945,642,504,1008,304,606,564
AT5G57240,154,236,118,108,177,91
AT3G28490,0,0,2,0,0,0
AT4G36940,1344,1908,1956,1218,1533,1781
AT1G73140,6,44,42,19,13,9
AT1G34600.1,0,0,0,0,0,0
AT4G23440,450,382,598,372,813,472
AT2G05050,0,0,0,0,0,0
AT3G07115,0,0,0,0,0,0
AT3G07110,6030,7787,5344,5241,6554,6605
AT1G72810,537,1250,779,232,911,891
AT5G23950,54,123,90,0,71,24
AT3G42835.1,0,0,0,0,0,0
AT4G20860,699,795,6220,334,2437,965
AT2G41460,480,487,414,283,554,613
AT2G18820.1,0,0,0,0,0,0
AT1G63810,500,800,821,364,888,743
AT2G40590,4998,5249,4082,3278,5485,4921
AT1G68790,1299,1668,2432,1147,2413,2225
AT1G68795,83,228,171,50,179,137
AT2G45590,2183,1602,1577,1427,2634,1731
AT2G39270,846,1155,1211,695,1100,1063
AT2G06390.1,0,0,0,0,0,0
AT4G09750,249,716,436,62,502,310
AT4G36360,3163,4401,6326,2209,5292,4471
AT3G18100,153,239,359,184,447,371
AT2G19710,1427,1012,4636,744,3928,1162
AT2G37380,215,574,104,44,219,484
AT1G76240,1818,875,505,167,835,2362
AT5G10560,2468,2508,2206,1166,2589,3220
AT3G45700,11,200,82,0,35,44
AT3G08580,69137,69526,63996,52911,68631,73954
AT4G33700,1817,2431,2499,1693,2402,2152
AT2G35710,1183,606,6625,269,1657,744
AT5G17690,488,627,529,328,676,675
AT5G39471,5,9,34,6,5,23
AT5G39470,0,0,0,0,0,0
AT5G39473,0,0,0,0,0,22
AT1G67310,891,1206,1978,432,1433,1282
AT4G22790,259,226,128,83,204,229
AT1G32560,13,0,6,0,149,74
AT5G60770,0,0,0,0,0,0
AT1G35030,0,0,0,0,0,0
AT1G64660,1533,819,559,109,832,1280
AT1G35035,0,0,0,0,0,0
AT2G40330,417,125,508,191,371,590
AT2G47100,0,0,0,0,0,0
AT4G03180,381,400,447,215,400,529
AT2G48100,2054,2294,1869,923,1949,2280
AT3G60238,0,0,0,0,0,0
AT4G02850,17,79,834,328,150,124
AT4G22420,0,0,0,0,0,0
AT2G03040,0,0,0,0,0,0
AT1G16705,0,43,14,0,0,0
AT3G09180,1011,1112,750,355,919,987
AT1G69440,264,351,338,135,305,314
AT1G62490,0,0,0,0,0,0
AT1G78940,73,113,242,59,241,272
AT4G06587.1,0,0,0,2,0,0
AT4G06652.1,38,0,0,0,42,75
AT3G21870,661,486,292,208,616,543
AT1G11730,154,134,142,67,240,214
AT3G05400,130,40,128,28,340,74
AT1G31200,115,217,111,105,130,141
AT4G08830.1,0,0,0,0,0,0
AT4G03450,0,5,57,0,104,0
AT4G03455,0,0,0,0,0,0
AT4G08406,0,0,0,0,0,0
AT4G10040,453,497,668,268,875,408
AT5G17030,0,0,0,0,22,15
AT1G71730,2731,2580,2035,1139,1901,2470
AT3G43315.1,22,6,0,0,0,0
AT5G35030.1,0,0,0,0,0,0
AT4G02580,4448,7828,5469,2159,6039,6367
AT1G49450,168,220,451,27,408,179
AT3G30220,0,0,0,0,0,0
AT5G55480,6021,5622,6750,3766,5675,5162
AT3G30222,0,0,0,0,0,0
AT1G54955.1,0,0,0,0,10,0
AT2G15940.1,11,56,12,0,3,0
AT2G46270,262,678,789,80,330,363
AT5G32569,0,0,0,0,0,0
AT5G16120,1730,2003,1023,606,1363,1902
AT1G45170,470,470,447,265,604,513
AT4G37700,78,134,166,12,131,134
AT2G02310,0,0,193,0,23,5
AT4G29273,0,0,0,0,0,0
AT4G08953.1,1,0,0,0,0,0
AT4G29270,2447,4395,3622,517,6274,3417
AT4G29276,0,0,0,0,0,0
AT1G30550,220,416,168,63,159,260
AT1G65200,185,0,7,0,439,437
AT5G07685.1,0,0,0,0,0,0
AT2G05830,2080,3395,2569,1052,2806,3285
AT1G34070,0,0,0,0,0,0
AT1G10460,57,107,73,24,99,14
AT4G02320,0,0,11,0,24,0
AT4G35700,0,0,2,0,0,0
AT4G02325,0,0,0,0,0,0
AT3G20475,70,31,36,14,77,59
AT3G20470,1391,742,927,1446,2445,2040
AT2G43730,0,0,0,0,0,0
AT5G03000,0,0,0,0,0,0
AT5G52620,0,0,0,0,0,0
AT4G18340,499,1022,1515,219,869,710
AT3G27845,4,0,0,0,0,0
AT5G08650,4612,5223,6022,2099,6304,5682
AT5G16780,1542,2061,2659,1188,2407,1718
AT5G19570,2383,2624,1525,1790,1830,1801
AT5G54750,1709,1837,1174,634,1595,1638
AT4G07504.1,0,0,0,0,0,0
AT3G18170,471,254,513,97,352,255
AT2G06562,0,0,0,0,0,0
AT2G45770,1363,1752,1807,691,1815,1979
AT3G31320.1,0,0,0,0,0,0
AT5G32169.1,0,1,0,0,0,0
AT1G46480,96,408,293,159,443,310
AT5G15470,720,995,1532,563,1405,1083
AT4G38730,144,377,226,119,239,451
AT4G33280,0,0,0,32,0,0
AT5G14780,5701,13043,5689,2552,4636,9590
AT3G30670.1,2,0,0,0,0,0
AT3G43682,0,0,0,0,0,0
AT3G25560,470,865,501,252,598,693
AT5G16870,596,595,442,277,558,619
AT3G29410,0,564,113,6,0,0
AT2G11880.1,0,61,159,6,0,0
AT4G05310,0,0,0,0,0,0
AT5G15780,30297,17280,23077,11454,17091,16374
AT1G62960,1183,1007,1254,645,1731,1241
AT3G42750.1,0,0,0,0,0,0
AT3G54100,999,767,1691,278,784,1022
AT2G18870,0,0,0,0,0,0
AT3G16140,73557,80422,38484,65530,47915,53135
AT4G10115,0,0,0,0,0,0
AT4G10112,0,1,0,0,0,0
AT4G10110,535,585,692,447,811,605
AT4G11640,206,301,232,155,161,249
AT4G11642,0,0,8,0,21,0
AT3G57450,1734,1088,4671,540,3598,900
AT3G29525.1,0,0,0,0,0,0
AT2G45190,4259,4518,3442,1340,2617,3029
AT4G15545,37869,37109,30974,14804,35173,37315
AT1G21940,0,0,0,0,0,0
AT5G48460,548,981,349,229,781,1255
AT4G15540,866,1579,1517,878,1476,1113
AT4G19430,25,60,3,2,17,44
AT2G20760,7561,7255,8406,3869,9530,9556
AT2G44820,287,410,623,353,476,461
AT5G41500,0,0,0,0,0,0
AT1G11100,69,80,151,0,145,106
AT1G61430,455,597,915,399,878,517
AT5G41050,781,1084,668,319,843,1210
AT5G48465,0,0,0,0,0,0
AT5G46030,1260,1860,1266,636,1773,1701
AT1G14610,3394,4379,5293,1619,5120,5070
AT4G05470,0,0,8,0,0,16
AT1G73805,331,88,619,41,758,89
